Date,Open,High,Low,Close,Volume,Adj Close
1992-09-02,1542.00,1542.00,1523.199951,1528.50,000,1528.50
1992-09-01,1548.00,1548.00,1540.099976,1542.00,000,1542.00
1992-08-31,1553.900024,1557.699951,1538.599976,1547.199951,000,1547.199951
1992-08-28,1543.300049,1556.300049,1543.300049,1553.900024,000,1553.900024
1992-08-27,1534.400024,1543.699951,1534.400024,1543.300049,000,1543.300049
1992-08-26,1520.699951,1539.900024,1520.699951,1534.400024,000,1534.400024
1992-08-25,1539.50,1539.50,1511.599976,1517.400024,000,1517.400024
1992-08-24,1559.300049,1559.300049,1538.800049,1539.50,000,1539.50
1992-08-21,1553.599976,1559.300049,1552.099976,1559.300049,000,1559.300049
1992-08-20,1561.599976,1561.599976,1550.400024,1553.599976,000,1553.599976
1992-08-19,1565.00,1567.599976,1560.50,1561.599976,000,1561.599976
1992-08-18,1559.00,1568.900024,1559.00,1565.00,000,1565.00
1992-08-17,1554.699951,1562.50,1554.50,1559.00,000,1559.00
1992-08-14,1568.400024,1568.400024,1548.800049,1549.00,000,1549.00
1992-08-13,1568.699951,1571.00,1563.300049,1568.400024,000,1568.400024
1992-08-12,1587.599976,1587.599976,1566.099976,1570.699951,000,1570.699951
1992-08-11,1592.300049,1595.099976,1587.099976,1587.599976,000,1587.599976
1992-08-10,1586.699951,1592.50,1583.599976,1592.300049,000,1592.300049
1992-08-07,1588.599976,1588.599976,1580.699951,1586.699951,000,1586.699951
1992-08-06,1603.800049,1603.800049,1586.900024,1588.599976,000,1588.599976
1992-08-05,1612.50,1612.50,1604.900024,1605.400024,000,1605.400024
1992-08-04,1617.300049,1617.300049,1610.599976,1612.50,000,1612.50
1992-08-03,1617.699951,1618.199951,1616.199951,1617.300049,000,1617.300049
1992-07-31,1621.00,1624.099976,1615.300049,1617.699951,000,1617.699951
1992-07-30,1612.300049,1622.800049,1612.300049,1621.00,000,1621.00
1992-07-29,1612.50,1617.800049,1610.00,1612.300049,000,1612.300049
1992-07-28,1605.300049,1606.800049,1598.599976,1605.400024,000,1605.400024
1992-07-27,1609.599976,1616.50,1604.699951,1606.300049,000,1606.300049
1992-07-24,1614.00,1615.199951,1608.599976,1609.599976,000,1609.599976
1992-07-23,1603.199951,1610.900024,1596.50,1610.699951,000,1610.699951
1992-07-22,1612.400024,1615.099976,1605.400024,1607.199951,000,1607.199951
1992-07-21,1604.900024,1609.199951,1596.900024,1609.199951,000,1609.199951
1992-07-20,1629.50,1629.50,1600.800049,1604.900024,000,1604.900024
1992-07-17,1639.199951,1641.400024,1627.599976,1629.50,000,1629.50
1992-07-16,1636.699951,1639.800049,1635.599976,1639.199951,000,1639.199951
1992-07-15,1638.800049,1640.699951,1632.199951,1636.699951,000,1636.699951
1992-07-14,1638.900024,1639.800049,1636.300049,1638.800049,000,1638.800049
1992-07-13,1644.199951,1645.400024,1637.900024,1638.900024,000,1638.900024
1992-07-10,1642.099976,1646.699951,1640.199951,1644.400024,000,1644.400024
1992-07-09,1651.400024,1651.599976,1636.199951,1642.099976,000,1642.099976
1992-07-08,1652.599976,1653.199951,1648.599976,1651.400024,000,1651.400024
1992-07-07,1663.599976,1665.900024,1659.599976,1660.50,000,1660.50
1992-07-06,1663.199951,1666.199951,1662.900024,1663.599976,000,1663.599976
1992-07-03,1661.699951,1666.099976,1659.199951,1663.199951,000,1663.199951
1992-07-02,1650.800049,1662.099976,1650.800049,1661.699951,000,1661.699951
1992-07-01,1644.699951,1648.00,1638.699951,1647.699951,000,1647.699951
1992-06-30,1645.300049,1650.800049,1643.599976,1643.800049,000,1643.800049
1992-06-29,1641.599976,1646.699951,1636.300049,1642.300049,000,1642.300049
1992-06-26,1644.599976,1644.599976,1640.00,1641.599976,000,1641.599976
1992-06-25,1647.800049,1648.300049,1643.50,1644.599976,000,1644.599976
1992-06-24,1647.00,1651.50,1647.00,1647.599976,000,1647.599976
1992-06-23,1636.300049,1644.300049,1633.50,1643.900024,000,1643.900024
1992-06-22,1637.199951,1639.50,1627.300049,1636.300049,000,1636.300049
